sampleid,daymon,daymin, daymax,icu,icurate,icumin,icumax,alphastep
0.00,100.00,-1524.00,-1475.00,138.67,-3.99,0.00,1339.31,0.00
1.00,100.00,-1524.00,-1476.00,138.40,-3.66,0.00,1380.60,0.00
2.00,100.00,-1524.00,-1475.00,124.68,-3.48,0.00,1264.93,0.00
3.00,100.00,-1524.00,-1475.00,141.77,-3.46,0.00,1273.57,0.00
4.00,100.00,-1524.00,-1476.00,140.15,-3.59,0.00,1310.85,0.00
5.00,100.00,-1524.00,-1475.00,146.19,-3.35,0.00,1362.27,0.00
6.00,100.00,-1524.00,-1475.00,140.14,-3.19,0.00,1339.51,0.00
7.00,100.00,-1524.00,-1475.00,139.02,-3.68,0.00,1354.82,0.00
8.00,100.00,-1524.00,-1475.00,143.61,-3.04,0.00,1323.33,0.00
9.00,100.00,-1524.00,-1475.00,141.79,-3.75,0.00,1314.49,0.00
10.00,100.00,-1524.00,-1476.00,141.13,-3.37,0.00,1344.26,0.00
11.00,100.00,-1524.00,-1475.00,140.80,-3.22,0.00,1343.84,0.00
12.00,100.00,-1524.00,-1476.00,147.68,-3.34,0.00,1323.94,0.00
13.00,100.00,-1524.00,-1475.00,147.19,-3.45,0.00,1374.72,0.00
14.00,100.00,-1524.00,-1475.00,133.86,-3.62,0.00,1348.18,0.00
15.00,100.00,-1524.00,-1476.00,144.17,-3.61,0.00,1346.60,0.00
16.00,100.00,-1524.00,-1476.00,145.36,-3.15,0.00,1356.91,0.00
17.00,100.00,-1524.00,-1476.00,142.22,-3.60,0.00,1329.02,0.00
18.00,100.00,-1524.00,-1475.00,122.75,-3.68,0.00,1309.13,0.00
19.00,100.00,-1524.00,-1476.00,142.11,-3.35,0.00,1341.49,0.00
20.00,100.00,-1524.00,-1475.00,147.79,-4.18,0.00,1465.94,0.00
21.00,100.00,-1524.00,-1475.00,138.09,-3.74,0.00,1365.78,0.00
22.00,100.00,-1524.00,-1476.00,145.64,-3.22,0.00,1365.43,0.00
23.00,100.00,-1524.00,-1476.00,142.23,-3.81,0.00,1366.72,0.00
24.00,100.00,-1524.00,-1476.00,140.75,-4.02,0.00,1371.98,0.00
25.00,100.00,-1524.00,-1475.00,122.63,-4.05,0.00,1341.60,0.00
26.00,100.00,-1524.00,-1475.00,150.78,-3.26,0.00,1306.22,0.00
27.00,100.00,-1524.00,-1476.00,143.17,-3.38,0.00,1308.04,0.00
28.00,100.00,-1524.00,-1475.00,145.07,-3.72,0.00,1358.22,0.00
29.00,100.00,-1524.00,-1476.00,146.66,-3.71,0.00,1333.23,0.00
30.00,100.00,-1524.00,-1476.00,142.68,-2.95,0.00,1340.10,0.00
31.00,100.00,-1524.00,-1475.00,144.90,-3.36,0.00,1273.09,0.00
32.00,100.00,-1524.00,-1476.00,139.22,-3.77,0.00,1321.13,0.00
33.00,100.00,-1524.00,-1476.00,152.59,-3.36,0.00,1319.62,0.00
34.00,100.00,-1524.00,-1475.00,146.89,-3.42,0.00,1317.33,0.00
35.00,100.00,-1524.00,-1476.00,131.17,-3.35,0.00,1329.95,0.00
36.00,100.00,-1524.00,-1475.00,153.99,-3.77,0.00,1359.13,0.00
37.00,100.00,-1524.00,-1475.00,146.83,-3.28,0.00,1316.25,0.00
38.00,100.00,-1524.00,-1475.00,146.21,-3.49,0.00,1355.31,0.00
39.00,100.00,-1524.00,-1475.00,149.06,-3.88,0.00,1323.51,0.00
40.00,100.00,-1524.00,-1475.00,135.20,-3.89,0.00,1378.59,0.00
41.00,100.00,-1524.00,-1476.00,158.82,-3.05,0.00,1384.61,0.00
42.00,100.00,-1524.00,-1476.00,139.06,-3.26,0.00,1330.64,0.00
43.00,100.00,-1524.00,-1475.00,139.94,-3.89,0.00,1348.10,0.00
44.00,100.00,-1524.00,-1476.00,157.35,-3.30,0.00,1369.34,0.00
45.00,100.00,-1524.00,-1476.00,149.17,-3.03,0.00,1358.56,0.00
46.00,100.00,-1524.00,-1475.00,146.17,-3.35,0.00,1346.17,0.00
47.00,100.00,-1524.00,-1475.00,151.03,-3.47,0.00,1377.89,0.00
48.00,100.00,-1524.00,-1476.00,135.50,-3.82,0.00,1305.14,0.00
49.00,100.00,-1524.00,-1476.00,146.50,-3.40,0.00,1346.00,0.00
